url_post,username,komentar,tanggal_komentar
https://www.instagram.com/p/DTrJ678Et6Y/,masdipi_,Saya suka.. saya suka..,2026-01-19 13:39:23
https://www.instagram.com/p/DTrJ678Et6Y/,n.rofik.39,Pengajuan sy untuk pita kejut belum di tindak lanjuti njeh udah 1 bulan,2026-01-19 14:25:54
https://www.instagram.com/p/DTrJ678Et6Y/,masthomsyndicate,"Jalan lajur kanan & kiri Transmart Majapahit / penggaron baerubang dan semakin dalam, membahayakan pengendara jalan, mohon inspeksinya 🙏🏽",2026-01-19 10:38:51
https://www.instagram.com/p/DTrJ678Et6Y/,queen.an69,Gimana mel? @ameliyaamely @ptlimautamajaya,2026-01-19 14:55:29
https://www.instagram.com/p/DTrJ678Et6Y/,shovellheads,saya sudah kirim aduan PJU mati sampai tiang mau ambruk 4x tanpa ada tindak lanjut dari instansi terkait,2026-01-19 21:18:32
https://www.instagram.com/p/DTpPrbckkLA/,sugihartono.sudiyon,"Buk @agustinawilujengp ... Kae lho jl Raya Ketileng ngarep gang  Ketileng Timur II, dalane jebros...... Kidule pom bensin dungmundu. Mbuk di genahi. Mosoko yo nunggu korban, nembe di dandani. Wingi aku wis komen ngene iki, yo ak tag akune PU, tp yo sajake rak nggagas....",2026-01-18 15:16:15
https://www.instagram.com/p/DTpPrbckkLA/,mugi_sr,Semoga semua Taman di Kota Semarang ikut dibenahi 👏,2026-01-19 08:37:23
https://www.instagram.com/p/DTpPrbckkLA/,miy_hanif,@lahangaja,2026-01-18 19:14:39
https://www.instagram.com/p/DTpPrbckkLA/,suhaisyah,Tolong bebaskan dari tukang parkir dan perokok 😢😢😢,2026-01-19 10:20:33
https://www.instagram.com/p/DTpPrbckkLA/,queen.an69,Gimana mel? @ameliyaamely @ptlimautamajaya,2026-01-19 14:55:37
https://www.instagram.com/p/DTnFShGEvks/,ardhi_sengkut13,"Min @semarangpemkot , aku jatuh cinta sama salah satu wargamu, min. Ning angel min 😢😢😢",2026-01-17 18:56:36
https://www.instagram.com/p/DTnFShGEvks/,ipanjulld,banjire min tapi rak karuan😭,2026-01-17 20:20:42
https://www.instagram.com/p/DTnFShGEvks/,rudyqiut,"Vibes habis hujan , sahdu dan sendu min😂",2026-01-17 19:07:12
https://www.instagram.com/p/DTnFShGEvks/,anasfauziyah,"banjir min, disemprot mobil 😭",2026-01-17 19:38:32
https://www.instagram.com/p/DTnFShGEvks/,delamgsr21_,"Banyak min.. Es krim, kue pancong, burjo.. Semuanya manis, endingnya aja yg ga manis🙏",2026-01-17 19:02:46
https://www.instagram.com/p/DTnFShGEvks/,alfiandwikurniawan,@auliabyushila,2026-01-18 06:25:43
https://www.instagram.com/p/DTnFShGEvks/,mldftr_6,@claricharsa,2026-01-19 16:18:19
https://www.instagram.com/p/DTnFShGEvks/,ghorbyfauzan,First time meets her in Semarang. Form another season we cann't,2026-01-17 21:18:37
https://www.instagram.com/p/DTnFShGEvks/,yayuk.887,Boncengan Bareng  Sama First Love  Cowok  Lampung Campuran Semarang 22th lalu😢😢,2026-01-17 18:59:49
https://www.instagram.com/p/DTnFShGEvks/,wahyu.restiafandi,Ketemu bestie rasa saudara di Semarang min @semarangpemkot . Colek @fikri_arifp @ucup_rodhi @haqifaisal15_ @adhytiarhyu @kinanthiwahyup_ @sls.riz,2026-01-17 22:28:36
https://www.instagram.com/p/DTnFShGEvks/,queen.an69,Gimana mel? @ameliyaamely @ptlimautamajaya,2026-01-19 14:55:44
https://www.instagram.com/p/DTnFShGEvks/,pety_rejeki,Malming muterin simpanglima sma firstlove yg msh di Semarang sampai skrng.  Akunya udh merantau jauh dri Semarang. Salam ya min NGO wong Semarang Kuwi sing manis😊,2026-01-19 07:26:58
https://www.instagram.com/p/DTnFShGEvks/,fahmi_elribki,Kangen banget😢,2026-01-18 17:39:33
https://www.instagram.com/p/DTnFShGEvks/,shantyhusnaa777,My hometown🥹,2026-01-18 15:48:40
https://www.instagram.com/p/DTnFShGEvks/,penitipananjingsemaranghiroki,🤗,2026-01-18 12:45:26
https://www.instagram.com/p/DTnFShGEvks/,batikpuspalaras,Tempat ternyaman ❤️😍,2026-01-18 09:49:35
https://www.instagram.com/p/DTnFShGEvks/,ariwidiatmoko91,Speed jum me kok rak diketokke😂,2026-01-18 09:01:40
https://www.instagram.com/p/DTnFShGEvks/,hikmahhhh21_,Kapan muter2 semarang lagi😢,2026-01-18 06:23:29
